Rapport sur les termes de recherche
1 janvier 2026 - 23 janvier 2026
Terme de recherche,Type de correspondance,Ajoutée/Exclue,Campagne,Groupe d'annonces,Impr.,Clics,Mot clé,CTR,Code de la devise,CPC moy.,Type de campagne,Coût,Valeur de conv.,Taux de conv.,Conversions,Coût/conv.
plombier marseille pas cher,Requête large,Non,Campagne Plomberie,Plombier Marseille,120,8,plombier,"6,66 %",EUR,"1,25 €",Recherche,"10,00 €","0,00 €",0 %,0,"0,00 €"
plombier chauffagiste paris 15,Requête large,Non,Campagne Plomberie,Plombier Paris,300,15,plombier,5 %,EUR,"1,10 €",Recherche,"16,50 €","150,00 €","6,66 %",1,"16,50 €"
tuto reparation fuite eau,Expression exacte,Non,Campagne Plomberie,Plombier Paris,50,3,plombier,6 %,EUR,"0,90 €",Recherche,"2,70 €","0,00 €",0 %,0,"0,00 €"
plombier pau centre ville,Requête large,Non,Campagne Plomberie,Plombier Pau,80,4,plombier,5 %,EUR,"1,00 €",Recherche,"4,00 €","0,00 €",0 %,0,"0,00 €"
paupiette de veau recette,Requête large,Non,Campagne Plomberie,Plombier,10,1,plombier,10 %,EUR,"0,20 €",Recherche,"0,20 €","0,00 €",0 %,0,"0,00 €"
plombier lyon urgence,Requête large,Non,Campagne Plomberie,Plombier Lyon,200,12,plombier,6 %,EUR,"1,50 €",Recherche,"18,00 €","240,00 €","8,33 %",2,"9,00 €"
Total : Compte,,,,,,,,,,,,,,,,
Total : Performance Max,,,,,,,,,,,,,,,,
Autres termes de recherche,,,,,10,1,,,,,,--,--,--,--
Total : Termes de recherche,,,,,760,44,,,,,,"52,65 €","408,00 €",,3,
